@RELATION estilo
@ATTRIBUTE 'att0' real
@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'att10' real
@ATTRIBUTE 'att11' real
@ATTRIBUTE 'att12' real
@ATTRIBUTE 'att13' real
@ATTRIBUTE 'att14' real
@ATTRIBUTE 'att15' real
@ATTRIBUTE 'att16' real
@ATTRIBUTE 'att17' real
@ATTRIBUTE 'att18' real
@ATTRIBUTE 'att19' real
@ATTRIBUTE 'att20' real
@ATTRIBUTE 'att21' real
@ATTRIBUTE 'att22' real
@ATTRIBUTE 'att23' real
@ATTRIBUTE 'att24' real
@ATTRIBUTE 'att25' real
@ATTRIBUTE 'att26' real
@ATTRIBUTE 'att27' real
@ATTRIBUTE 'att28' real
@ATTRIBUTE 'att29' real
@ATTRIBUTE 'att30' real
@ATTRIBUTE 'att31' real
@ATTRIBUTE 'att32' real
@ATTRIBUTE 'att33' real
@ATTRIBUTE 'att34' real
@ATTRIBUTE 'att35' real
@ATTRIBUTE 'att36' real
@ATTRIBUTE 'att37' real
@ATTRIBUTE 'att38' real
@ATTRIBUTE 'att39' real
@ATTRIBUTE 'att40' real
@ATTRIBUTE 'att41' real
@ATTRIBUTE 'att42' real
@ATTRIBUTE 'att43' real
@ATTRIBUTE 'att44' real
@ATTRIBUTE 'att45' real
@ATTRIBUTE 'att46' real
@ATTRIBUTE 'att47' real
@ATTRIBUTE 'att48' real
@ATTRIBUTE 'att49' real
@ATTRIBUTE 'att50' real
@ATTRIBUTE 'att51' real
@ATTRIBUTE 'att52' real
@ATTRIBUTE 'att53' real
@ATTRIBUTE 'att54' real
@ATTRIBUTE 'att55' real
@ATTRIBUTE 'att56' real
@ATTRIBUTE 'att57' real
@ATTRIBUTE 'att58' real
@ATTRIBUTE 'att59' real
@ATTRIBUTE 'att60' real
@ATTRIBUTE 'att61' real
@ATTRIBUTE 'att62' real
@ATTRIBUTE 'att63' real
@ATTRIBUTE 'att64' real
@ATTRIBUTE 'att65' real
@ATTRIBUTE 'att66' real
@ATTRIBUTE 'att67' real
@ATTRIBUTE 'att68' real
@ATTRIBUTE 'att69' real
@ATTRIBUTE 'att70' real
@ATTRIBUTE 'att71' real
@ATTRIBUTE 'att72' real
@ATTRIBUTE 'att73' real
@ATTRIBUTE 'att74' real
@ATTRIBUTE 'att75' real
@ATTRIBUTE 'att76' real
@ATTRIBUTE 'att77' real
@ATTRIBUTE 'att78' real
@ATTRIBUTE 'att79' real
@ATTRIBUTE 'att80' real
@ATTRIBUTE 'att81' real
@ATTRIBUTE 'att82' real
@ATTRIBUTE 'att83' real
@ATTRIBUTE 'att84' real
@ATTRIBUTE 'att85' real
@ATTRIBUTE 'att86' real
@ATTRIBUTE 'att87' real
@ATTRIBUTE 'att88' real
@ATTRIBUTE 'att89' real
@ATTRIBUTE 'att90' real
@ATTRIBUTE 'att91' real
@ATTRIBUTE 'att92' real
@ATTRIBUTE 'att93' real
@ATTRIBUTE 'att94' real
@ATTRIBUTE 'att95' real
@ATTRIBUTE 'att96' real
@ATTRIBUTE 'att97' real
@ATTRIBUTE 'att98' real
@ATTRIBUTE 'att99' real
@ATTRIBUTE 'class' {0,1,2,3} 
@DATA
0.321063, -0.187254, -0.142683, -0.0777478, -0.163859, 0.220791, 0.47868, -0.68829, -0.0106106, 0.302377, 0.00445166, -0.263372, -0.0160711, -0.527484, 0.0198844, 0.160782, 0.652833, -0.163517, 0.504296, 0.289498, -0.0138265, -0.0113659, 0.141566, 0.0741829, 0.442606, -0.535158, 0.119109, -0.244409, -1.1899, 0.125347, 0.159873, 0.141469, 0.65347, 0.025876, -0.037541, -0.584681, -0.0892445, 0.0314467, 0.142527, -0.00860924, -0.144142, 0.256002, 0.357834, -0.0447991, 0.0350374, 0.379008, 0.209187, -0.589913, -0.0669193, 0.317461, 0.00172278, -0.448058, 0.172277, 0.092252, -0.160014, 0.609862, -0.157075, 0.390711, -0.811401, 0.303543, -0.275883, 0.15954, -0.164055, 0.20608, -0.12486, 0.332131, 0.216148, -0.59071, 0.0285758, 0.0942699, -0.0367196, 0.39126, 0.368074, 0.300108, -0.232789, 0.390247, -0.149165, 0.110414, -0.876391, -0.328765, -0.290661, -0.70012, 0.157262, 0.223964, 0.351131, -0.164877, 0.0791299, 0.345142, -0.0305867, -0.340616, 0.0641326, 0.557897, -0.219412, 0.253272, 0.134644, -0.481792, -0.559277, -0.286641, 0.275848, -0.0184776, 0
0.519224, -0.213881, -0.559693, -0.0719172, -0.128, -0.0557187, 0.679248, -0.498464, -0.192351, 0.284811, 0.328085, 0.100558, -0.198792, -0.308575, 0.45867, 0.16934, 0.935635, -0.251586, 0.122188, 0.401151, 0.0156683, 0.0384438, 0.0853749, -0.116876, 0.40848, -0.390197, 0.161696, -0.0555859, -1.14314, 0.374695, 0.0693157, 0.408508, 0.668515, -0.138593, -0.0929906, -0.489465, -0.283351, 0.348499, -0.122868, 0.0272855, 0.0316499, 0.154478, 0.192297, 0.0839804, 0.0973612, 0.152778, 0.278683, -0.52968, 0.0821731, 0.368037, 0.125926, -0.472651, 0.21525, 0.372052, -0.0378837, 0.470226, -0.252163, 0.0710777, -0.805524, 0.208635, -0.140181, 0.139785, -0.261031, -0.121294, -0.279131, 0.235756, 0.094159, -0.453874, -0.0312527, -0.0282599, 0.0931856, 0.443033, 0.42499, 0.204166, -0.151706, 0.291397, 0.200575, 0.409823, -0.645724, -0.0299211, -0.299167, -0.633825, 0.128905, 0.180817, 0.520324, -0.193417, 0.194757, 0.0395295, 0.202119, -0.0305205, 0.338194, 0.177469, -0.183879, 0.179268, -0.08367, -0.0882086, -0.354804, -0.521765, 0.28873, -0.306435, 0
0.194598, -0.208407, -0.244393, -0.0407671, -0.131382, 0.154141, 0.541638, -0.49748, -0.194205, 0.17638, 0.326155, 0.130713, 0.0472085, -0.250488, 0.307712, 0.170321, 0.821053, -0.101394, 0.160443, 0.158695, 0.110626, 0.0776999, -0.042084, -0.0172784, 0.363021, -0.481831, 0.194591, -0.125904, -0.997288, 0.199225, 0.0406873, 0.158278, 0.630041, -0.154791, -0.159209, -0.60263, 0.0614449, 0.214575, 0.302583, -0.0300735, -0.142147, 0.0196448, 0.141442, -0.0344971, 0.167632, 0.313853, 0.262859, -0.475076, -0.10579, 0.511055, 0.151101, -0.474012, 0.214073, 0.296464, -0.0637102, 0.661304, -0.180638, 0.0972236, -0.609051, 0.281958, -0.409996, 0.0680341, -0.290742, -0.0102628, -0.373578, 0.154508, 0.47129, -0.487342, 0.00417077, 0.128828, 0.188601, 0.424297, 0.290637, 0.153059, -0.242279, 0.191916, -0.172834, 0.276691, -0.739832, -0.179741, -0.361829, -0.609513, 0.144541, 0.149127, 0.402634, -0.19741, -0.027429, 0.201736, 0.159182, -0.207512, -0.052676, 0.310498, -0.0465544, 0.123714, 0.0882441, -0.0658808, -0.274367, -0.391367, 0.084207, -0.413542, 0
0.443743, -0.244158, -0.267568, -0.0074444, 0.0666663, 0.192759, 0.396973, -0.344931, 0.0924125, 0.225205, -0.378239, -0.172717, -0.119389, -0.339236, 0.0826687, 0.324614, 0.658019, -0.00884761, 0.305102, 0.463814, -0.0236326, 0.0147148, 0.369257, 0.133536, 0.274552, -0.469011, -0.229644, -0.0701368, -1.24787, -0.00803136, 0.207218, 0.287886, 0.600595, -0.174582, 0.191702, -0.465873, -0.0709389, -0.182275, -0.0765392, 0.0793185, 0.144891, 0.389547, 0.356249, -0.0203067, -0.111022, 0.0678697, 0.199264, -0.438501, -0.15641, -0.128816, -0.217855, -0.0614983, 0.0635579, 0.186214, -0.0256844, 0.837135, -0.192971, 0.184204, -0.430048, 0.00306435, -0.152646, 0.312452, -0.303676, 0.0141589, -0.0223628, 0.553678, 0.115613, -0.297889, 0.311875, 0.237905, -0.188723, 0.34644, 0.208755, 0.267112, -0.197109, 0.307999, 0.180585, 0.144763, -0.431287, -0.346333, -0.431551, -0.552202, 0.0638881, 0.33824, 0.421355, -0.356882, 0.417084, 0.43292, 0.00640829, 0.0560889, -0.0704852, 0.533836, -0.148881, 0.393336, 0.0373415, -0.261597, -0.147735, 0.000624374, -0.0708795, 0.153526, 0
0.546752, -0.2773, -0.395433, -0.0483338, 0.0659325, 0.0242833, 0.421462, -0.369488, 0.0225465, 0.39188, 0.0120559, -0.0141503, -0.228758, -0.220432, 0.339426, 0.171573, 0.701335, -0.00914728, 0.0743466, 0.3601, -0.0908586, 0.0712066, 0.365692, 0.0834789, 0.303258, -0.332641, -0.219716, -0.13932, -1.01057, 0.0564601, 0.159477, 0.0524703, 0.690318, -0.197766, 0.0358364, -0.380759, -0.100856, -0.0688695, -0.108746, 0.0219626, 0.229376, 0.324039, 0.461581, -0.021743, -0.0797766, 0.205303, 0.247497, -0.472308, -0.0842495, 0.115693, -0.0983528, -0.191089, 0.0703635, 0.377276, -0.185268, 0.784296, -0.202781, 0.0233214, -0.470203, -0.0861511, -0.111016, 0.272382, -0.144801, 0.0220008, 0.0176577, 0.462173, -0.0496551, -0.298288, 0.370586, 0.0799451, -0.0866089, 0.32136, 0.187004, 0.267246, -0.0989648, 0.365847, 0.248777, 0.156209, -0.609135, -0.10587, -0.404448, -0.562194, 0.171728, 0.270491, 0.455289, -0.459414, 0.339463, 0.264556, 0.0662409, 0.05329, 0.0810225, 0.349181, -0.116991, 0.310797, -0.0145322, -0.247306, -0.329302, -0.113764, 0.0326823, 0.0256809, 0
0.459514, -0.249099, -0.243777, -0.14547, 0.094306, -0.0961182, 0.281992, -0.437162, 0.0364475, 0.450415, 0.223277, -0.00659034, -0.0796851, -0.581773, 0.232288, -0.205333, 0.411919, -0.132764, 0.105504, 0.204111, -0.172834, 0.152753, 0.398045, 0.129032, 0.189461, 0.0917507, -0.177662, -0.115854, -0.618496, -0.0176497, 0.21587, -0.128296, 0.540613, -0.209249, -0.0343705, -0.495402, -0.246281, -0.189095, -0.413234, 0.108141, 0.141299, 0.0409833, 0.343783, -0.24111, -0.232368, 0.115774, 0.234565, -0.783451, -0.31371, 0.107535, -0.127111, -0.347296, 0.217224, 0.404257, -0.364168, 0.435389, -0.342328, -0.0956639, -0.379682, 0.00585333, 0.0448967, 0.297389, 0.0992218, 0.123379, 0.212401, 0.44965, -0.287043, -0.681955, 0.48688, -0.0710158, 0.106507, 0.244214, 0.186193, 0.065108, -0.129837, 0.245147, 0.116044, 0.00343911, -0.459404, 0.0500329, -0.276422, -0.652866, 0.133048, 0.033019, -0.0492067, -0.403267, 0.369147, 0.181687, 0.0275382, 0.318263, 0.0374342, 0.093843, 0.109975, 0.452367, -0.0485461, -0.381927, -0.464301, -0.278473, 0.252101, 0.0540164, 0
0.604412, -0.606453, -0.265804, -0.0721432, -0.12062, 0.040918, 0.396318, -0.287147, 0.283849, 0.241274, 0.431217, 0.0803457, -0.253737, -0.407998, 0.00822078, -0.0968532, 0.409289, 0.0511231, 0.157582, 0.153884, -0.208248, 0.115134, 0.476874, -0.0605147, 0.203059, -0.390891, 0.0438698, -0.25607, -0.617364, 0.00866563, 0.208088, 0.104179, 0.683986, -0.25452, -0.0645533, -0.487742, -0.320964, -0.249012, -0.185857, 0.21642, -0.061054, -0.0233524, 0.331859, -0.134358, -0.171522, 0.0932504, 0.0375457, -0.611387, -0.203385, 0.0292698, 0.192842, -0.292039, 0.103159, 0.530651, -0.300239, 0.504652, -0.226517, 0.186996, -0.482351, 0.214132, -0.141528, 0.318406, 0.157415, 0.124085, 0.130264, 0.0229629, -0.17954, -0.403905, 0.316012, -0.0391963, 0.116862, 0.153929, 0.293625, 0.238636, -0.104408, -0.0369161, 0.0286399, 0.178971, -0.710587, -0.107546, -0.417667, -0.578327, 0.331939, 0.18737, 0.0878091, -0.113921, 0.431933, 0.269378, 0.148663, -0.0765479, 0.00299099, 0.28122, -0.123115, 0.265534, -0.0451548, 0.00601684, -0.437256, -0.29462, 0.306528, 0.0554849, 0
0.651409, -0.144392, -0.628618, -0.431666, 0.0316071, 0.279306, 0.254288, -0.373205, -0.341426, 0.259944, -0.18762, 0.192808, -0.271631, -0.172266, 0.170229, 0.219828, 0.797326, 0.236884, -0.183294, 0.510389, 0.0306207, 0.00334193, 0.804048, -0.0850997, -0.0640159, -0.335651, -0.132831, -0.374946, -1.26714, -0.0131083, 0.0860476, 0.33542, 0.635548, -0.211131, 0.213406, -0.37804, -0.193937, -0.145072, -0.312738, 0.124473, -0.0252369, 0.0402897, 0.0164565, -0.135226, -0.21456, 0.249722, 0.0120253, -0.317459, -0.100887, -0.23594, 0.239459, -0.149238, 0.326067, 0.142311, -0.480337, 0.606573, -0.764565, 0.171944, -0.393547, 0.135731, -0.285218, 0.315257, 0.239196, 0.170268, 0.0915682, 0.620753, 0.180921, -0.124119, 0.419696, 0.314764, 0.0339211, 0.24453, 0.144232, 0.436474, 0.122723, 0.11973, 0.139137, 0.12439, -0.558769, -0.337465, -0.479165, -0.394877, 0.159602, 0.39844, 0.338005, -0.324904, 0.740587, 0.225355, 0.340118, -0.15413, 0.137135, 0.597367, -0.218094, 0.274998, 0.0303817, -0.0685319, -0.391642, 0.157105, -0.271771, -0.149253, 0
0.414344, -0.0710597, -0.552009, -0.277999, -0.00598517, 0.198636, 0.571668, -0.616404, -0.479939, 0.312942, -0.177053, -0.0374898, -0.0935129, -0.477614, 0.415284, 0.0570287, 1.00826, -0.113696, 0.465985, 0.500661, 0.14993, -0.0571818, 0.320358, -0.0871977, 0.47951, -0.524411, 0.124924, -0.14216, -1.68834, 0.235772, 0.00945986, 0.511423, 0.657436, -0.210899, 0.181231, -0.350722, -0.0823077, 0.0265854, 0.0447613, 0.0272793, 0.112917, 0.195689, 0.249419, -0.0554782, -0.0725124, 0.483822, 0.352083, -0.429414, -0.0483608, 0.277115, -0.176191, -0.380876, 0.1967, -0.0156358, -0.143964, 0.725213, -0.249539, 0.189276, -0.663906, 0.223656, -0.152702, 0.177236, -0.295943, -0.0692277, -0.274173, 0.637912, 0.17383, -0.334376, 0.000131146, 0.136727, -0.0756475, 0.583038, 0.520393, 0.266351, -0.239062, 0.407777, 0.103253, 0.0985298, -0.39638, -0.239554, -0.299059, -0.686697, 0.100337, 0.119908, 0.624344, -0.255233, 0.411978, 0.179713, -0.0827111, -0.307311, 0.104862, 0.599562, -0.196592, 0.304706, 0.188824, -0.391853, -0.404457, -0.201088, 0.0174173, 0.058805, 0
0.709437, -0.201917, -0.531566, -0.344015, -0.00584291, 0.102292, 0.446061, -0.578323, -0.183615, 0.487457, -0.0820957, -0.0827691, -0.091987, -0.738878, 0.24364, -0.00751549, 0.906904, -0.0616429, 0.47952, 0.578428, -0.127913, -0.0442539, 0.527717, 0.0596784, 0.410773, -0.527095, -0.0492917, -0.222956, -1.49705, 0.0806709, 0.254858, 0.339408, 0.793542, 0.0267062, 0.0525357, -0.544817, -0.301419, 0.0828019, -0.246482, 0.0190174, 0.164451, 0.0157598, 0.171237, -0.158224, -0.0191889, 0.507791, 0.327345, -0.477681, -0.149152, 0.22045, -0.374796, -0.342177, 0.329209, 0.255889, -0.283854, 0.845169, -0.297653, 0.208431, -0.771147, 0.135017, -0.222022, 0.228035, -0.17016, 0.0340707, -0.0602589, 0.633621, 0.136635, -0.328692, 0.0863784, -0.0115206, 0.0157491, 0.620184, 0.373486, 0.351794, -0.303284, 0.576349, 0.224656, -0.091057, -0.633114, -0.275047, -0.329049, -0.673296, 0.0701483, 0.184452, 0.363115, -0.391347, 0.497024, 0.197296, 0.0856036, 0.0324329, 0.252405, 0.461549, -0.302299, 0.412882, 0.0961336, -0.263401, -0.419763, -0.286132, 0.171356, -0.107082, 0
