@RELATION estilo
@ATTRIBUTE 'att0' real
@ATTRIBUTE 'att1' real
@ATTRIBUTE 'att2' real
@ATTRIBUTE 'att3' real
@ATTRIBUTE 'att4' real
@ATTRIBUTE 'att5' real
@ATTRIBUTE 'att6' real
@ATTRIBUTE 'att7' real
@ATTRIBUTE 'att8' real
@ATTRIBUTE 'att9' real
@ATTRIBUTE 'att10' real
@ATTRIBUTE 'att11' real
@ATTRIBUTE 'att12' real
@ATTRIBUTE 'att13' real
@ATTRIBUTE 'att14' real
@ATTRIBUTE 'att15' real
@ATTRIBUTE 'att16' real
@ATTRIBUTE 'att17' real
@ATTRIBUTE 'att18' real
@ATTRIBUTE 'att19' real
@ATTRIBUTE 'att20' real
@ATTRIBUTE 'att21' real
@ATTRIBUTE 'att22' real
@ATTRIBUTE 'att23' real
@ATTRIBUTE 'att24' real
@ATTRIBUTE 'att25' real
@ATTRIBUTE 'att26' real
@ATTRIBUTE 'att27' real
@ATTRIBUTE 'att28' real
@ATTRIBUTE 'att29' real
@ATTRIBUTE 'att30' real
@ATTRIBUTE 'att31' real
@ATTRIBUTE 'att32' real
@ATTRIBUTE 'att33' real
@ATTRIBUTE 'att34' real
@ATTRIBUTE 'att35' real
@ATTRIBUTE 'att36' real
@ATTRIBUTE 'att37' real
@ATTRIBUTE 'att38' real
@ATTRIBUTE 'att39' real
@ATTRIBUTE 'att40' real
@ATTRIBUTE 'att41' real
@ATTRIBUTE 'att42' real
@ATTRIBUTE 'att43' real
@ATTRIBUTE 'att44' real
@ATTRIBUTE 'att45' real
@ATTRIBUTE 'att46' real
@ATTRIBUTE 'att47' real
@ATTRIBUTE 'att48' real
@ATTRIBUTE 'att49' real
@ATTRIBUTE 'att50' real
@ATTRIBUTE 'att51' real
@ATTRIBUTE 'att52' real
@ATTRIBUTE 'att53' real
@ATTRIBUTE 'att54' real
@ATTRIBUTE 'att55' real
@ATTRIBUTE 'att56' real
@ATTRIBUTE 'att57' real
@ATTRIBUTE 'att58' real
@ATTRIBUTE 'att59' real
@ATTRIBUTE 'att60' real
@ATTRIBUTE 'att61' real
@ATTRIBUTE 'att62' real
@ATTRIBUTE 'att63' real
@ATTRIBUTE 'att64' real
@ATTRIBUTE 'att65' real
@ATTRIBUTE 'att66' real
@ATTRIBUTE 'att67' real
@ATTRIBUTE 'att68' real
@ATTRIBUTE 'att69' real
@ATTRIBUTE 'att70' real
@ATTRIBUTE 'att71' real
@ATTRIBUTE 'att72' real
@ATTRIBUTE 'att73' real
@ATTRIBUTE 'att74' real
@ATTRIBUTE 'att75' real
@ATTRIBUTE 'att76' real
@ATTRIBUTE 'att77' real
@ATTRIBUTE 'att78' real
@ATTRIBUTE 'att79' real
@ATTRIBUTE 'att80' real
@ATTRIBUTE 'att81' real
@ATTRIBUTE 'att82' real
@ATTRIBUTE 'att83' real
@ATTRIBUTE 'att84' real
@ATTRIBUTE 'att85' real
@ATTRIBUTE 'att86' real
@ATTRIBUTE 'att87' real
@ATTRIBUTE 'att88' real
@ATTRIBUTE 'att89' real
@ATTRIBUTE 'att90' real
@ATTRIBUTE 'att91' real
@ATTRIBUTE 'att92' real
@ATTRIBUTE 'att93' real
@ATTRIBUTE 'att94' real
@ATTRIBUTE 'att95' real
@ATTRIBUTE 'att96' real
@ATTRIBUTE 'att97' real
@ATTRIBUTE 'att98' real
@ATTRIBUTE 'att99' real
@ATTRIBUTE 'class' {0,1}
@DATA
0.00068542, 0.000320138, 0.000445821, 0.000934247, -0.00480459, 0.00115846, -0.000117007, 0.00452169, -0.00298352, 0.000148373, -1.62114e-05, -0.00491801, -0.00318853, 0.00432648, -0.00485678, 0.00480868, -0.00348786, -0.00470354, 0.00274045, 0.00297181, -0.00292391, 0.00102545, 0.00336868, 0.00157079, 0.00317589, -0.00458104, 0.00203283, -0.000167943, 0.00168233, 0.00364547, 0.00104973, 0.00408018, 0.00261525, -0.000126539, 0.00110353, -0.000698444, 0.00414707, -0.00403515, -0.0059967, 0.00534617, 0.000568276, -0.00140837, -0.00102682, 0.00269333, -0.00127821, -0.00453036, -0.00251264, 0.0045449, -0.00334786, -0.00341003, -0.00306387, 0.000555569, -0.00518925, 0.00210944, -0.00170077, -0.0024029, 0.00278397, 0.00445332, -0.000810733, 0.00104613, 0.00307286, -0.00544845, -0.00401912, 0.0010629, -0.000238842, 0.00432457, -0.0043577, 0.000186155, -0.000167328, 0.000189044, -0.000709462, 0.000282305, 0.00279337, 0.00303064, -0.00330832, 0.00225143, 0.00280264, 0.00537356, 0.00269383, -0.00465875, 0.00472064, 0.000795332, 0.00199148, -0.0043228, -0.00252786, 0.00479133, 0.00140792, -0.00188766, -0.000105046, 0.000543956, 0.000867901, 0.00095187, -0.00388708, 0.002732, -0.000918861, 0.00449974, 6.65267e-05, 0.00326312, 0.00128427, -0.00134745, 1
0.00482716, 0.0043992, 0.00521265, 0.00166123, 0.000393697, -0.000318799, -0.00277572, 0.000981587, 0.00389957, -0.00557214, 0.00201533, 0.00332572, -0.00115536, -0.0013167, -0.00448028, -0.00427714, 0.00181276, 0.0038044, 0.000403518, 0.00179908, 0.000628434, 0.00143171, -0.00093094, 0.00510998, 0.00501517, -0.00525061, -0.00246056, 0.00424062, -0.000944049, 0.00383285, -0.00335827, -0.00170041, -0.00386753, 0.00163566, -0.00446441, -0.00399142, 0.00199754, -0.00383907, 0.00134772, 0.000896706, -0.00435195, -0.00181101, 0.00492473, 0.00143272, -0.00202235, 0.000910128, 0.00464719, 0.00279424, -0.00105425, 0.00454856, 0.00485794, -0.00441627, 0.00302339, -0.00489395, -0.000775224, -0.00250619, -0.00413777, -0.00220666, 0.00254746, 0.00110134, 0.00185885, 0.00283473, -0.000256519, -0.00194653, 0.00492729, 0.0031509, -0.000190836, 0.00254055, 0.000862305, 0.00127507, -0.00517991, 0.00217398, 0.00375773, -0.00340857, 0.00384653, 0.00198696, -0.00244503, 0.00201518, -0.00280919, 0.002265, -0.00119582, -0.00024893, 0.00365408, 0.00509644, 0.00200852, 0.00333286, 0.00411714, 0.00390246, -0.000178004, -0.00146598, -0.00508503, 0.00375598, 0.00323171, 0.00338884, 0.00415568, 0.00287713, -0.00333544, 0.00342456, -0.00272624, -0.00157307, 1
0.000226175, -0.00115239, -0.00363994, 0.00383291, 0.00256647, 0.00411655, 0.00104483, -0.000614899, -0.00461183, 0.00126742, -0.00125246, -0.00369622, -0.000585147, 0.00120352, -0.000711737, 0.00482705, 0.00249471, -0.00420579, -0.00226246, -0.00148425, -0.00363036, 0.00164544, -0.00200595, -0.000716718, 0.000834415, -0.00246283, -0.00490279, -0.00260686, -0.00349673, 0.00511158, -0.00360569, 0.00198824, -0.00328046, -0.00205607, -0.00104412, -0.00146097, -0.0025196, -0.0037229, -0.000717334, -0.00265247, -0.00019864, -0.000768681, -0.00266468, -0.00293114, -0.00367395, -0.001779, 0.003343, -0.0011409, 0.00167669, 0.0055686, 0.000241582, -0.00304781, -0.00512226, -0.00557715, -0.00101826, 0.000984571, -0.00091344, 0.00404412, 0.00327884, 0.00178306, 0.000390196, 0.00433418, 0.00349214, -0.00258266, -0.0036007, -0.00127534, 0.00237763, 0.000173694, -0.00291317, -0.000945421, -0.00512979, -0.00158668, 0.00592988, 0.00375746, -0.00264505, 0.00196571, 0.0036575, 0.00205841, -4.04472e-05, -0.00311866, 0.00031457, 0.00179963, 0.00322961, 0.00402862, -0.00464625, -0.00348235, 0.0047875, 0.000512934, -0.001772, -0.00162887, 0.00157817, 0.00101431, 0.00214451, -0.00232061, 0.00363806, 0.00619456, 0.000504621, -0.00348218, -0.0035715, -0.00227196, 1
-0.00175117, 0.00331591, 0.00267844, -0.00279578, -0.0026128, 0.00302699, 0.00337806, -0.00266975, 0.0018287, 0.000753597, -0.000377221, 0.00355532, 0.00262264, -0.00364915, -0.0049381, -0.00333606, -0.00429993, -0.000504691, 0.00359365, -0.000508912, 0.000368579, 0.000476409, -0.00269664, 0.00160431, 0.00238479, -0.00172762, 0.000319801, -0.00131849, -0.00168294, 0.00282634, 0.00179838, 0.000249609, -0.0018549, 0.0046593, 0.00505424, -0.00328586, 0.00195181, -0.00100457, -0.00420015, -0.00288004, -0.00445082, -0.00369748, -0.00364681, -0.00287702, 0.00204515, -0.00248708, 0.00221023, -0.00108952, -0.00388588, 0.0010548, 0.00107358, -0.00316368, -0.00531821, -0.00102738, -0.00448502, -0.00356013, 0.00123498, -0.000398798, 0.00243614, 0.00270498, 0.000462911, -0.00121546, 0.00151189, 0.00183863, -0.000261492, 0.00278034, 0.00461972, 0.000473528, 0.00338964, 0.00501933, -0.00254182, -0.00117151, 0.00530648, -0.000914207, -0.00205323, 0.000691982, -0.000154988, 8.7949e-05, -0.00095615, 0.00165776, -0.00393565, 0.00254711, -0.00188672, 0.00153718, -0.00241657, 0.00496809, -0.00343342, -0.000647254, 0.00250287, 0.00165198, -0.00317954, 0.00479174, -0.00249352, 0.00482973, 0.00562722, 0.00522739, 0.00376896, 0.00059272, 0.00280252, 0.00231421, 1
-0.00334951, 0.00213064, 0.00428311, 0.00420709, 0.0018126, 0.000740423, -0.00379645, 0.00429734, -0.000680208, 0.00369803, -0.0031889, -1.83199e-05, 0.00140982, 0.000647886, -0.00281194, 0.000360014, 0.0013083, -0.00411778, -0.00391315, -0.00550611, 0.001509, 0.00331472, 0.000389212, 0.00518191, 0.00258802, -0.003453, -0.00224676, 0.00242967, -0.000154385, 0.00335001, 0.002685, -0.00171542, 0.00280427, 0.00301258, -0.0034193, -0.00174661, 0.00524845, -0.000413028, -0.00158755, -0.003514, 0.00319194, -0.00289634, 2.98234e-05, 0.00115956, -0.00153216, 0.0011491, -0.00295789, 0.00131654, -0.00257063, 0.00359223, 0.00131221, 0.000788925, -0.00278595, 0.00188096, 0.000172698, 0.00380432, 0.00406, -0.00443712, 0.00502597, -0.000525203, -0.00222714, 0.00260096, 0.00440265, 0.00434051, 0.00481371, 0.00329543, -0.0040775, -0.0044405, -0.00444897, 0.00436583, -0.00400084, -0.00114301, 0.000451833, 0.00111783, -0.00181456, 0.0048632, 0.00144885, 0.00503658, 0.00112049, 0.00108606, 0.00385138, -0.00332958, 0.00384621, 0.00389412, -0.0025509, 0.00416206, 0.00310521, 0.00118973, 0.000192753, -0.00317622, -0.00371565, -0.001723, 0.00226911, -0.00432035, -0.00212545, 0.00369504, 0.00455688, 0.004335, 0.00407579, 0.00251413, 1
0.00192983, -0.00102793, 0.0032431, 0.00184457, -0.00385366, -0.00432806, 0.00261062, 0.0012773, -0.00194078, -0.00367387, -0.00313392, 0.00103151, 0.000248268, -0.0038439, 0.00126111, 0.00210633, -0.00114667, 0.00498138, 0.0043121, -0.000418257, 0.00362724, 0.00148255, -0.00171091, 0.000276749, 0.00479653, -0.00338842, -0.00344523, -0.00125031, -0.00324868, 0.00264851, 0.00358926, 0.00377441, 0.00459459, 0.00510444, 0.00117121, -0.00540225, -0.000233638, -0.00521398, -0.00147709, 0.00108718, -0.00375513, 0.00281206, -0.0033238, 0.00381255, 0.00161276, 0.00282714, -0.000622277, -0.00424504, 0.00147024, 0.00539235, -0.00473771, -0.00345943, -0.00166509, 0.00368312, -0.00103886, -0.00236033, -0.00334612, -0.0025506, 0.00155173, -0.0036102, 0.00252338, 0.000635851, 0.00186408, -0.00173717, 0.00418037, 0.00156938, -0.00451715, -0.00398804, 0.00247491, -0.00272463, 0.00101662, -0.00464076, 0.0035924, 0.00194501, 0.000431243, 0.000826405, -0.00363475, 0.00575131, 0.00201334, 0.00452078, -0.00324131, -0.00244814, -0.00489696, 0.00014024, -0.00180298, 0.00413221, 0.00494927, 0.001734, 0.00306697, -0.000181277, -0.00378183, -0.00370448, 0.00214202, 0.00374547, 0.00077355, -0.00282168, 0.00534047, 0.000995732, 0.0015773, 0.00572394, 1
0.00277302, 0.00202752, -0.000492705, 0.00102076, 0.00373203, -0.00278462, -0.00305729, -0.00230712, 0.0023851, 0.00146498, 0.0025029, -0.00138023, -0.00118802, 0.00315068, -0.00233105, 0.00385043, -0.0038855, 0.00363148, -0.00117004, -0.00324211, -0.000332008, 0.00434605, 0.00389347, 0.00557154, -0.0012747, -0.00469966, -0.00420841, -0.000750015, -0.00149836, 0.00261815, 0.000657094, 0.00386892, -9.86904e-05, 0.00373953, -0.000108631, -0.000977224, 0.00148492, -0.00512387, -0.00396377, 0.00618401, 0.00112151, -0.00375069, -0.00472601, -0.00115303, 0.00136773, -0.00563666, -0.00136097, -0.00493586, -0.00112163, 0.000232257, -0.000211385, 0.00255093, -0.00409795, 0.00356052, -0.00454965, -0.00332753, -0.00308622, -0.00485098, 0.00374881, -0.00084683, -0.00136333, -0.00425556, -0.00444137, 0.000942848, 0.00381848, 0.00176895, 0.00375055, -0.0044895, -0.00103772, -0.00319685, 0.00424621, 0.000494374, 0.00229603, -0.00428497, -0.00482055, -0.000160665, -0.00529585, 0.00530525, -0.00249636, 0.000600032, 0.00509957, 0.00293199, -0.00531089, -0.000424393, 0.00320346, 0.000103489, 0.00532119, -0.00365319, -0.00534103, 0.00228492, 0.000985622, 0.00269803, -0.00487387, -0.0029629, 2.86235e-05, 0.00427882, 0.0021822, -0.00376349, -0.0015397, -0.0018993, 1
-0.0041948, -0.00189442, -0.0038835, 9.46213e-06, 0.00393314, 0.00480421, -0.00478967, 0.00328923, 7.72493e-05, -0.00116099, -0.00520257, 0.00367469, -0.00425514, 0.00150119, -0.00340282, 0.00281587, -0.00404442, 0.0011135, -0.000725265, -0.00601004, -0.00425453, 0.00256106, 0.00189273, 0.000123787, -0.00120028, -0.00331018, 0.00325945, -0.00157885, 0.00268257, 0.00240016, 0.00439136, 0.000594643, 0.00519566, -0.00412107, 0.00262748, -0.00126001, -0.00147933, -0.00275391, -0.00345945, 0.00186545, 0.00206805, 0.00355236, -0.00461147, 0.00124972, 0.00282119, -0.00161088, -0.00310693, -0.0012837, 0.00115389, -0.00374376, 0.00234619, -0.00241055, -0.00445355, 0.000609895, -0.00263597, 0.00198435, 0.00116418, 0.000937266, 0.0025212, 0.00474152, 0.00345442, 0.00236951, 0.00260874, 0.00294505, 0.000235631, -0.00421389, -0.00145656, -0.00265286, 0.00313904, 0.00125598, -0.00262836, 0.00454066, 0.0016269, 0.0018763, 0.000729404, -0.00237708, 0.00437061, 0.00200037, -0.000647831, 0.00193506, 0.00417549, 0.00505973, -0.00444958, -0.00419684, 0.00144851, 0.00225962, 0.0050034, -0.00487325, 0.00159275, -0.00355232, -0.000568581, 0.00152929, -0.00360086, 0.00270784, -0.00139795, -0.00162199, -0.00429917, 0.00521269, -0.0012639, 0.003871, 1
0.00237231, -0.0053827, 0.00189997, -0.00322193, 0.00304125, 0.00545585, 0.00396315, -0.00255926, -0.00230752, 0.000825239, 0.000784312, -0.00419274, 0.002221, -0.0035956, 0.000462141, 0.0015633, -0.000649942, 0.00120518, 0.000112618, -0.00326275, -0.00319628, 0.00382655, -0.00479195, 0.00256114, 0.00578739, 0.00377755, -0.000993983, -0.0038941, 0.000155711, -0.000598818, 2.44574e-05, 0.00074825, -0.000560937, 0.00246028, 0.0037343, -0.00553721, -0.00148956, -0.0021355, -0.00608797, 0.00510828, 0.00315822, 0.00150243, -0.00123752, -0.000337479, -0.00447837, -0.000162246, 0.00504902, 0.00192393, -0.00485653, 0.00353672, -0.00245401, -0.000114247, 0.000244663, -0.00516526, 0.000235611, -0.00214907, -0.00398522, 0.00043152, -0.000870233, 0.00434779, -0.00239144, -0.00251014, 0.0051658, 0.00077599, -0.00469033, 0.00184909, 0.0045291, -0.00224977, 0.00512305, -0.00392008, 0.00305938, 0.00245337, 0.00236712, 1.47315e-05, -0.00104398, 0.00139941, -0.00354635, 0.00159937, -0.00462712, -0.00444009, 0.00206154, -0.0040378, -0.00309071, 0.00090879, -0.00345207, 0.004457, -0.000484114, -0.00138773, -0.000223333, 0.0041876, 0.00236304, -0.00141996, 0.000926454, -0.000439564, 0.00163385, 0.00580558, 0.00103741, 0.00232585, -0.00435424, 0.00574041, 0
-0.000869274, -0.00224084, -0.00242675, -1.54439e-05, -0.00446987, -0.00424283, -0.00324032, -0.000718651, 0.00431641, -0.00267583, -0.00121079, 0.000434177, 0.00260872, 0.00367774, -0.00139244, 0.00267615, 0.00194204, 0.0010452, -0.00216268, 0.000298528, 0.00473443, 0.0049041, 0.00134371, 0.000724221, -0.00236264, -0.00120278, 0.00320864, -0.000845067, -0.00372038, -0.00361474, -0.0036067, -0.00129059, 0.00432011, 0.00433289, 0.000359701, 0.00261334, 0.005586, -0.00301362, 0.00184066, 0.00289339, 0.00368912, -0.00308604, 0.0035019, 0.00235588, 0.00279435, 0.00247796, 0.00169202, 0.000348061, 0.00132879, -0.00262645, 0.000357588, -0.00283336, 0.00109091, -0.00592929, -0.00541463, -0.00423189, 0.00265661, 0.00200983, -0.00416117, -0.00403525, 0.00513933, -0.00544981, -0.000506212, -0.00056022, 0.000892707, 0.00213956, -0.0014342, 0.00124312, 0.00540691, 0.0024129, -0.00256507, -0.00519698, 0.00552168, -0.00435074, -0.00187617, 0.00282511, 0.00132875, 0.00582002, 0.0027257, -0.00337755, -0.00476681, 0.00538924, 0.00144641, -0.00342801, -0.00320441, 0.000521614, 0.00171768, 0.00176454, -0.00511588, -0.000751329, 0.00225823, -0.00152654, 0.00419488, -0.00414946, -0.00322875, -0.000848317, 0.00460091, -0.00405944, 0.000670899, -0.0012916, 0
